Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE
People,Sex and Age,Total population,750278,(+/- 7994 ),819899,(+/- 12097 ),754350,(+/- 5447 ),847032,(+/- 10935 ),751232,(+/- 2406 ),763491,(+/- 7452 ),780442,(+/- 6271 ),774967,(+/- 5185 ),778477,(+/- 9115 ),759453,(+/- 5680 ),749597,(+/- 5180 ),849357,(+/- 7685 ),768213,(+/- 8397 )
People,Sex and Age,Male,356050,(+/- 5430 ),404048,(+/- 7358 ),381230,(+/- 4698 ),409080,(+/- 6625 ),366213,(+/- 2241 ),368361,(+/- 5173 ),379443,(+/- 4688 ),378637,(+/- 3775 ),378436,(+/- 5536 ),370553,(+/- 3990 ),365565,(+/- 3892 ),407994,(+/- 4594 ),367771,(+/- 5155 )
People,Sex and Age,Female,394228,(+/- 5145 ),415851,(+/- 6865 ),373120,(+/- 4058 ),437952,(+/- 6678 ),385019,(+/- 2101 ),395130,(+/- 4953 ),400999,(+/- 4707 ),396330,(+/- 4075 ),400041,(+/- 5955 ),388900,(+/- 3289 ),384032,(+/- 3644 ),441363,(+/- 4379 ),400442,(+/- 5467 )
People,Sex and Age,Under 5 years,41967,(+/- 2355 ),53307,(+/- 2588 ),47466,(+/- 1720 ),51060,(+/- 2267 ),40538,(+/- 1070 ),41009,(+/- 2069 ),42255,(+/- 2042 ),53123,(+/- 1862 ),45527,(+/- 2669 ),39455,(+/- 1630 ),35767,(+/- 1820 ),60298,(+/- 1810 ),42821,(+/- 2113 )
People,Sex and Age,5 to 9 years,44308,(+/- 3086 ),59002,(+/- 4558 ),50423,(+/- 3778 ),56205,(+/- 3738 ),45485,(+/- 2958 ),46319,(+/- 2763 ),45340,(+/- 2989 ),51756,(+/- 3254 ),56151,(+/- 2866 ),43188,(+/- 3034 ),40859,(+/- 3253 ),57257,(+/- 3367 ),48215,(+/- 3417 )
People,Sex and Age,10 to 14 years,47637,(+/- 3076 ),66680,(+/- 4654 ),43392,(+/- 2873 ),49981,(+/- 3659 ),44910,(+/- 2902 ),54635,(+/- 3427 ),44746,(+/- 3261 ),51138,(+/- 2853 ),61598,(+/- 2983 ),47869,(+/- 3259 ),41879,(+/- 2554 ),55617,(+/- 3543 ),47189,(+/- 3309 )
People,Sex and Age,15 to 19 years,51562,(+/- 3322 ),56806,(+/- 3107 ),50505,(+/- 2971 ),58111,(+/- 2779 ),54549,(+/- 2005 ),51229,(+/- 3117 ),50581,(+/- 3012 ),53143,(+/- 2790 ),56404,(+/- 2815 ),48675,(+/- 2236 ),44327,(+/- 2291 ),54733,(+/- 1820 ),57920,(+/- 2545 )
People,Sex and Age,20 to 24 years,58035,(+/- 2723 ),42770,(+/- 2914 ),68558,(+/- 3204 ),70845,(+/- 2762 ),53277,(+/- 2067 ),42103,(+/- 2868 ),51875,(+/- 2554 ),52882,(+/- 2491 ),42420,(+/- 3164 ),45582,(+/- 2519 ),42392,(+/- 2751 ),61729,(+/- 1783 ),52218,(+/- 2321 )
People,Sex and Age,25 to 34 years,102724,(+/- 4310 ),99746,(+/- 4867 ),100043,(+/- 4149 ),139031,(+/- 4659 ),86092,(+/- 2169 ),85448,(+/- 3705 ),89777,(+/- 3436 ),109864,(+/- 3237 ),86680,(+/- 4042 ),89938,(+/- 3336 ),81839,(+/- 3275 ),154711,(+/- 3092 ),95393,(+/- 4337 )
People,Sex and Age,35 to 44 years,91685,(+/- 3791 ),114892,(+/- 3851 ),83870,(+/- 3291 ),123415,(+/- 3612 ),90269,(+/- 1870 ),97169,(+/- 2860 ),96778,(+/- 3180 ),98612,(+/- 3529 ),106858,(+/- 4049 ),95513,(+/- 3062 ),84495,(+/- 3001 ),127636,(+/- 2994 ),93078,(+/- 3425 )
