Topic,Subject,Title,"District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population",763468,"(+/- 18454 )"
People,"Sex and Age",Male,372543,"(+/- 9729 )"
People,"Sex and Age",Female,390925,"(+/- 12027 )"
People,"Sex and Age","Under 5 years",55144,"(+/- 3705 )"
People,"Sex and Age","5 to 9 years",50094,"(+/- 3731 )"
People,"Sex and Age","10 to 14 years",46314,"(+/- 4016 )"
People,"Sex and Age","15 to 19 years",40080,"(+/- 3088 )"
People,"Sex and Age","20 to 24 years",55017,"(+/- 3692 )"
People,"Sex and Age","25 to 34 years",160563,"(+/- 7619 )"
People,"Sex and Age","35 to 44 years",107689,"(+/- 5618 )"
People,"Sex and Age","45 to 54 years",93643,"(+/- 4524 )"
People,"Sex and Age","55 to 59 years",39072,"(+/- 3341 )"
People,"Sex and Age","60 to 64 years",36991,"(+/- 3158 )"
People,"Sex and Age","65 to 74 years",45056,"(+/- 3249 )"
People,"Sex and Age","75 to 84 years",23015,"(+/- 2477 )"
People,"Sex and Age","85 years and over",10790,"(+/- 1613 )"
People,"Sex and Age","Median age (years)",33.2,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",586199,"(+/- 13005 )"
People,"Sex and Age","65 years and over",78861,"(+/- 4123 )"
People,Race,"Total population",763468,"(+/- 18454 )"
People,Race,"One race",734846,"(+/- 18254 )"
People,Race,White,361054,"(+/- 12789 )"
People,Race,"Black or African American",85111,"(+/- 8086 )"
People,Race,"American Indian and Alaska Native",3680,"(+/- 1778 )"
People,Race,Asian,145543,"(+/- 10123 )"
People,Race,"Native Hawaiian and Other Pacific Islander",186,"(+/- 205 )"
People,Race,"Some other race",139272,"(+/- 11591 )"
People,Race,"Two or more races",28622,"(+/- 4512 )"
People,"Hispanic or Latino and Race","Total population",763468,"(+/- 18454 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",300044,"(+/- 14277 )"
People,"Hispanic or Latino and Race",Mexican,50361,"(+/- 8151 )"
People,"Hispanic or Latino and Race","Puerto Rican",97905,"(+/- 8947 )"
People,"Hispanic or Latino and Race",Cuban,3601,"(+/- 1464 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",148177,"(+/- 11000 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",463424,"(+/- 15314 )"
People,"Place of Birth","Total population",763468,"(+/- 18454 )"
People,"Place of Birth",Native,491084,"(+/- 15868 )"
People,"Place of Birth","Born in United States",453674,"(+/- 14694 )"
People,"Place of Birth","State of residence",355018,"(+/- 14283 )"
People,"Place of Birth","Different state",98656,"(+/- 5427 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",37410,"(+/- 3558 )"
People,"Place of Birth","Foreign born",272384,"(+/- 10223 )"
People,Ancestry,"Total population",763468,"(+/- 18454 )"
People,Ancestry,American,28659,"(+/- 6019 )"
People,Ancestry,Arab,6792,"(+/- 2270 )"
People,Ancestry,Czech,1009,"(+/- 411 )"
People,Ancestry,Danish,1220,"(+/- 563 )"
People,Ancestry,Dutch,1993,"(+/- 661 )"
People,Ancestry,English,14254,"(+/- 1687 )"
People,Ancestry,"French (except Basque)",5634,"(+/- 1272 )"
People,Ancestry,"French Canadian",983,"(+/- 435 )"
People,Ancestry,German,22077,"(+/- 2624 )"
People,Ancestry,Greek,2365,"(+/- 875 )"
People,Ancestry,Hungarian,14265,"(+/- 4372 )"
People,Ancestry,Irish,27955,"(+/- 2637 )"
People,Ancestry,Italian,28804,"(+/- 3715 )"
